Cricinfo_id,Teams_overview,teams_ov_telugu
772061,"['Essex', 'Essex 2nd XI', 'Loughborough MCCU', 'Marylebone Cricket Club']","ఎస్సెక్స్, ఎస్సెక్స్ 2న్ద్ క్సీ, లుగ్బరో ఎం.సీ.సీ.యూ., మర్యలేబొన్ క్రికెట్ క్లబ్"
10712,"['England', 'Lancashire']","ఇంగ్లాండ్, లంచేషీర్"
11865,"['England', 'Boland', 'Derbyshire', 'Lancashire', 'Leicestershire']","ఇంగ్లాండ్, బోలాండ్, డెర్బిషిషిర్, లంచేషీర్, లైచేస్టర్షిర్"
11951,"['England', 'Cambridge University', 'Hindus', 'Sussex']","ఇంగ్లాండ్, కాంబ్రిడ్జ్ యూనివర్సిటీ, హిందూస్, సస్సెక్స్"
652945,"['England Academy Women', 'England Development Squad Women', 'England Women', 'South East Stars', 'Super 3s Team C', 'Sussex Women']","ఇంగ్లాండ్ అకాడమీ వోమెన్, ఇంగ్లాండ్ డెవెలప్మెంట్ స్క్వాడ్ వోమెన్, ఇంగ్లాండ్ వోమెన్, సౌత్ ఈస్ట్ స్టర్స్, సూపర్ ౩స్ టీమ్ సీ., సస్సెక్స్ వోమెన్"
562281,"['England Under-19s', 'Glamorgan', 'Glamorgan 2nd XI', 'Hampshire', 'Hampshire 2nd XI', 'Wales Minor Counties']","ఇంగ్లాండ్ అండర్ -19స్, గ్లామర్గాన్గాన్, గ్లమోర్గన్ 2న్ద్ క్సీ, హంపిషిర్, హాంప్‌షైర్ 2న్ద్ క్సీ, వాల్స్ మైనర్ కంటీస్"
11886,"['England', 'Cambridge University', 'Sussex']","ఇంగ్లాండ్, కాంబ్రిడ్జ్ యూనివర్సిటీ, సస్సెక్స్"
302269,"['England Under-19s', 'Gloucestershire', 'Gloucestershire 2nd XI']","ఇంగ్లాండ్ అండర్ -19స్, గ్లౌసిటర్షిటీర్, గ్లౌసెస్టర్షైర్ 2న్ద్ క్సీ"
11848,"['England', 'British Universities', 'Devon', 'Gloucestershire', 'Northamptonshire', 'Yorkshire']","ఇంగ్లాండ్, బ్రిటిష్ యూనివర్సిటీసిట్స్, డివన్, గ్లౌసిటర్షిటీర్, నోర్తంప్టోనాంశీరే, యార్క్షిర్"
641405,"['England Under-19s', 'Kent', 'Kent 2nd XI', 'Kent Under-13s', 'Kent Under-14s', 'Kent Under-15s']","ఇంగ్లాండ్ అండర్ -19స్, కెంట్, కెంట్ 2న్ద్ క్సీ, కెంట్ అండర్ -13స్, కెంట్ అండర్ -14స్, కెంట్ అండర్ -15స్"
53758,"['Combined Services Women', 'East Women', 'England Women', 'Kent Women', 'Oxfordshire Women', 'South Women']","ఇంగ్లాండ్ వోమెన్, కంబినెడ్ సర్వీసెస్ వోమెన్, ఈస్ట్ వోమెన్, కెంట్ వోమెన్, ఆక్స్ఫోస్ఫార్సిర్ వోమెన్, సౌత్ వోమెన్"
885181,"['Glamorgan', 'Surrey 2nd XI', 'Surrey Under-13s', 'Surrey Under-14s', 'Surrey Under-17s', 'Warwickshire']","గ్లామర్గాన్గాన్, సర్రే 2న్ద్ క్సీ, సుర్రీ అండర్ -13స్, సుర్రీ అండర్ -14స్, సుర్రీ అండర్ -17స్, వార్విక్షిక్షిర్"
11893,"['England', 'Kent', 'Natal', 'Worcestershire']","ఇంగ్లాండ్, కెంట్, నటల్, వొర్సెస్టర్సిటిర్"
12452,"['Kent', 'Kent Cricket Board']","కెంట్, కెంట్ క్రికెట్ బోర్డ్"
11954,"['Cheshire', 'Derbyshire', 'Derbyshire Cricket Board']","చేశిరే, డెర్బిషిషిర్, డెర్బిషిషిర్ క్రికెట్ బోర్డ్"
11870,"['England', 'Scotland', 'Essex', 'Kent']","ఇంగ్లాండ్, స్కోట్లండ్, ఎస్సెక్స్, కెంట్"
53687,"['England', 'West Midlands Women']","ఇంగ్లాండ్, వెస్ట్ మిడ్లాండ్స్ వోమెన్"
637970,"['Lancashire 2nd XI', 'Leicestershire']","లాంక్షైర్ 2న్ద్ క్సీ, లైచేస్టర్షిర్"
11965,"['Marylebone Cricket Club', 'Middlesex', 'PCA Masters XI', 'Somerset']","మర్యలేబొన్ క్రికెట్ క్లబ్, మిడ్లెసెక్సెక్స్, పి.సీ.ఏ. మాస్టర్స్ క్సీ, సోమర్సెట్"
11931,"['England', 'Kent', 'Middlesex']","ఇంగ్లాండ్, కెంట్, మిడ్లెసెక్సెక్స్"
11883,"['England', 'Cambridge University', 'Middlesex']","ఇంగ్లాండ్, కాంబ్రిడ్జ్ యూనివర్సిటీ, మిడ్లెసెక్సెక్స్"
11995,"['Derbyshire', 'Somerset', 'Somerset Cricket Board', 'Unicorns']","డెర్బిషిషిర్, సోమర్సెట్, సోమర్సెట్ క్రికెట్ బోర్డ్, యూనికార్న్స్"
11857,['Derbyshire'],డెర్బిషిషిర్
12445,"['Durham MCCU', 'Lancashire Cricket Board', 'Leicestershire', 'Northamptonshire', 'Warwickshire']","దుర్హం ఎం.సీ.సీ.యూ., లంచేషీర్ క్రికెట్ బోర్డ్, లైచేస్టర్షిర్, నోర్తంప్టోనాంశీరే, వార్విక్షిక్షిర్"
11842,"['British Universities', 'Cheshire', 'England Under-19s', 'Glamorgan', 'Herefordshire', 'Northamptonshire', 'Worcestershire', 'Yorkshire']","ఇంగ్లాండ్ అండర్ -19స్, బ్రిటిష్ యూనివర్సిటీసిట్స్, చేశిరే, గ్లామర్గాన్గాన్, హెరిఫోర్‌డ్షిర్, నోర్తంప్టోనాంశీరే"
11919,"['England', ""Maharaja of Patiala's XI"", 'Yorkshire']","ఇంగ్లాండ్, మహరాజ ఆఫ్ పేషయిల'స్ క్సీ, యార్క్షిర్"
11946,"['England', 'Lancashire']","ఇంగ్లాండ్, లంచేషీర్"
12454,"['England', 'Barisal Burners', 'Brisbane Heat', 'Brothers Christopherson', 'Brothers Union', 'Dhaka Platoon', 'England Development Programme Under-19s', 'England Lions', 'England Performance Programme', 'England Under-19s', 'Karachi Kings', 'Kent', 'Kent 2nd XI', 'Kolkata Knight Riders', 'Lahore Qalandars', 'Marylebone Cricket Club', 'Middlesex', 'Middlesex 2nd XI', 'Multan Sultans', 'Sydney Sixers', 'Sylhet Sixers', 'Team Buttler']","ఇంగ్లాండ్, ఇంగ్లాండ్ డెవెలప్మెంట్ ప్రోగ్రామీ అండర్ -19స్, ఇంగ్లాండ్ లియన్స్, ఇంగ్లాండ్ పెర్ఫర్‌ఫాన్‌మాన్స్ ప్రోగ్రామీ, ఇంగ్లాండ్ అండర్ -19స్, బరిసల్ బర్నర్స్"
